[164, 120]
[150, 139]
[127, 179]
[111, 213]
[93, 255]
[89, 293]
[83, 342]
[84, 337]
[86, 338]
[89, 345]
[102, 336]
[102, 336]
[130, 329]
[130, 329]
[130, 329]
[130, 329]
[310, 128]
[310, 128]
[310, 128]
[310, 128]
[310, 128]
[310, 128]
[310, 128]
[310, 128]
[58, 112]
[553, 313]
[587, 345]
[58, 112]
[58, 112]
[58, 112]
[543, 341]
[58, 112]
[58, 112]
[457, 123]
[455, 99]
[463, 107]
[475, 126]
[58, 112]
[500, 184]
[511, 217]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[142, 197]
[150, 200]
[164, 213]
[58, 112]
[58, 112]
[301, 122]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[534, 321]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[453, 101]
[465, 108]
[484, 126]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[490, 249]
[485, 246]
[481, 247]
[481, 247]
[481, 247]
[481, 247]
[481, 247]
[481, 247]
[481, 247]
[474, 184]
[474, 184]
[489, 202]
[504, 205]
[512, 212]
[524, 230]
[524, 230]
[509, 207]
[493, 182]
[485, 172]
[485, 172]
[413, 272]
[413, 272]
[413, 272]
[413, 272]
[403, 182]
[403, 182]
[403, 182]
[403, 182]
[403, 182]
[503, 276]
[296, 132]
[296, 132]
[296, 132]
[296, 132]
[296, 132]
[296, 132]
[121, 240]
[121, 240]
[121, 240]
[121, 240]
[193, 301]
[201, 303]
[201, 303]
[192, 122]
[184, 129]
[149, 170]
[146, 203]
[58, 113]
[58, 113]
[160, 248]
[58, 112]
[58, 113]
[180, 252]
[196, 277]
[58, 113]
[318, 115]
[345, 112]
[363, 122]
[58, 113]
[58, 113]
[456, 216]
[456, 216]
[456, 216]
[456, 216]
[587, 318]
[582, 316]
[572, 322]
[565, 332]
[362, 206]
[518, 322]
[58, 113]
[471, 338]
[360, 211]
[58, 113]
[455, 111]
[58, 113]
[461, 31]
[472, 30]
[491, 34]
[498, 37]
[502, 55]
[499, 70]
[496, 100]
[493, 127]
[490, 175]
[490, 175]
[490, 175]
[58, 112]
[58, 112]
[477, 243]
[473, 234]
[473, 234]
[465, 241]
[462, 253]
[458, 269]
[458, 269]
[306, 116]
[289, 133]
[289, 133]
[289, 133]
[289, 133]
[289, 133]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[262, 111]
[262, 111]
[319, 116]
[337, 131]
[337, 131]
[337, 131]
[408, 217]
[408, 217]
[421, 97]
[429, 101]
[443, 117]
[448, 123]
[448, 123]
[448, 123]
[448, 123]
[448, 123]
[532, 325]
[543, 320]
[498, 343]
[580, 334]
[576, 313]
[570, 301]
[562, 293]
[556, 294]
[550, 299]
[550, 299]
[550, 299]
[418, 92]
[389, 45]
[389, 45]
[268, 202]
[266, 197]
[266, 197]
[266, 197]
[266, 197]
[239, 15]
[219, 37]
[219, 37]
[151, 137]
[125, 187]
[58, 112]
[151, 110]
[178, 49]
[181, 35]
[167, 41]
[157, 49]
[141, 70]
[129, 90]
[110, 130]
[100, 165]
[88, 227]
[58, 112]
[75, 308]
[75, 308]
[54, 344]
[61, 318]
[74, 291]
[82, 279]
[58, 112]
[103, 273]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[244, 48]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[409, 34]
[58, 112]
[58, 112]
[58, 112]
[391, 111]
[58, 112]
[349, 109]
[343, 131]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[58, 112]
[246, 103]
[227, 90]
[211, 100]
[185, 122]
[58, 113]
[136, 184]
[121, 215]
[58, 113]
[58, 113]
[58, 113]
[166, 275]
[183, 276]
[195, 282]
[58, 113]
[58, 113]
[229, 102]
[218, 105]
[199, 122]
[58, 113]
[161, 175]
[143, 206]
[58, 113]
[92, 314]
[83, 308]
[79, 309]
[75, 320]
[72, 332]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[58, 113]
[278, 126]
[302, 110]
[324, 97]
[324, 97]
[387, 102]
[410, 115]
[58, 113]
[58, 113]
[495, 189]
[495, 189]
[495, 189]
[454, 196]
[434, 198]
[413, 207]
[407, 211]
[407, 211]
[426, 123]
[433, 126]
[433, 126]
[433, 126]
[512, 205]
[523, 220]
[547, 258]
[547, 258]
[532, 324]
[522, 321]
[512, 324]
[512, 324]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[489, 343]
[305, 214]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[388, 325]
[131, 350]
[122, 345]
[117, 347]
[112, 342]
[112, 342]
[99, 336]
[92, 333]
[86, 328]
[86, 325]
[93, 322]
[97, 321]
[102, 319]
[102, 319]
[102, 319]
[634, 86]
[634, 86]
[634, 86]
[634, 86]
[231, 40]
[231, 40]
[231, 40]
[158, 88]
[136, 113]
[100, 161]
[93, 194]
[106, 246]
[106, 246]
[106, 246]
[106, 246]
[106, 246]
[167, 330]
[184, 328]
[194, 318]
[210, 312]
[220, 315]
[225, 317]
[225, 317]
[225, 317]
[225, 317]
[370, 127]
[244, 311]
[211, 234]
[211, 234]
[211, 234]
[211, 234]
[211, 234]
[211, 234]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[471, 297]
[110, 261]
[110, 261]
[110, 261]
[110, 261]
[110, 261]
[110, 261]
[110, 261]
[185, 109]
[174, 119]
[162, 132]
[143, 163]
[122, 206]
[118, 220]
[112, 256]
[100, 305]
[94, 303]
[90, 307]
[86, 318]
[125, 210]
[158, 126]
[174, 89]
[181, 74]
[177, 69]
[167, 85]
